learning_rate,momentum,epoch,train_loss,test_loss,test_accuracy
0.1,0.1,1,2.440253257751465,0.3008355743408203,0.9186
0.1,0.1,2,0.5502176284790039,0.31947935791015625,0.9101
0.1,0.1,3,0.6448652744293213,0.3069621246337891,0.9182
0.1,0.1,4,0.29100272059440613,0.36198202514648437,0.8997
0.1,0.1,5,0.42271092534065247,0.32798917236328123,0.9083
0.1,0.3,1,2.436380624771118,0.3393591125488281,0.9042
0.1,0.3,2,0.6884061098098755,0.3409972412109375,0.9066
0.1,0.3,3,0.292188435792923,0.32213023376464844,0.9114
0.1,0.3,4,0.37808868288993835,0.34893482666015624,0.9017
0.1,0.3,5,0.4824966788291931,0.3499383483886719,0.9028
0.1,0.5,1,2.4896554946899414,0.34784050598144534,0.9058
0.1,0.5,2,0.5820271968841553,0.34358898315429687,0.9083
0.1,0.5,3,0.5784738063812256,0.3370429016113281,0.9126
0.1,0.5,4,0.39155659079551697,0.3360554748535156,0.9137
0.1,0.5,5,0.2595946788787842,0.34774167785644533,0.9126
0.01,0.1,1,2.4542694091796875,0.327014453125,0.9089
0.01,0.1,2,1.5784873962402344,0.2999701171875,0.9155
0.01,0.1,3,1.1425864696502686,0.2905134368896484,0.9187
0.01,0.1,4,1.0349897146224976,0.287450212097168,0.9194
0.01,0.1,5,0.8315935134887695,0.281446208190918,0.9208
0.01,0.3,1,2.3368804454803467,0.317314045715332,0.9117
0.01,0.3,2,1.335991382598877,0.2968797912597656,0.9152
0.01,0.3,3,1.045343279838562,0.28904424896240233,0.9183
0.01,0.3,4,0.7745765447616577,0.28581786041259766,0.9201
0.01,0.3,5,0.8380435705184937,0.28208297576904295,0.9222
0.01,0.5,1,2.3642659187316895,0.30611075134277344,0.9138
0.01,0.5,2,0.9416127800941467,0.2907941802978516,0.9171
0.01,0.5,3,0.930466890335083,0.2850340682983398,0.9204
0.01,0.5,4,0.7523573637008667,0.28246194763183596,0.9206
0.01,0.5,5,0.646515965461731,0.2815353363037109,0.92
0.001,0.1,1,2.3763070106506348,0.5622200866699218,0.8636
0.001,0.1,2,2.2624223232269287,0.45033241577148436,0.8837
0.001,0.1,3,2.2772321701049805,0.40593205871582033,0.8903
0.001,0.1,4,2.0370981693267822,0.3808552001953125,0.8962
0.001,0.1,5,1.9352123737335205,0.3642077697753906,0.9009
0.001,0.3,1,2.5788965225219727,0.5181972839355469,0.8718
0.001,0.3,2,2.416180372238159,0.4237782897949219,0.8877
0.001,0.3,3,2.1395881175994873,0.3853740997314453,0.8956
0.001,0.3,4,1.9705418348312378,0.3633031036376953,0.9007
0.001,0.3,5,1.8043324947357178,0.3493551574707031,0.9029
0.001,0.5,1,2.5935873985290527,0.4711894165039063,0.8808
0.001,0.5,2,2.3660335540771484,0.3929970306396484,0.8955
0.001,0.5,3,2.0199708938598633,0.3619441101074219,0.8999
0.001,0.5,4,1.7714653015136719,0.3435528350830078,0.9059
0.001,0.5,5,1.7296615839004517,0.33201327819824217,0.9073
